TXT,18.4,18.8,18,18.15,56009
UNH,32.37,32.465,31.76,31.79,70676
UNM,20.89,20.96,20.26,20.43,29545
UNP,75.45,75.84,73.56,74.5,30643
UPS,65.82,66.18,64.83,65.42,55602
URBN,33.25,33.67,32.96,33.16,30502
USB,22.3,22.4,21.7,21.72,129311
UTX,69.62,70.14,68.02,68.51,60732
V,72.42,72.73,71.5,71.63,46105
VAR,55.51,55.51,54.3,54.75,7489
VFC,76.97,77.44,75.62,75.94,8892
VIA,37.45,37.45,36.15,36.43,312
VLO,16.99,17.1,16.6,16.75,93571
VMC,38.83,38.83,38,38.47,17998
VNO,83.54,83.82,80.96,81.54,13673
VRSN,29.16,29.7,28.99,29.35,82237
VTR,51.11,51.17,49.76,50.02,12889
VZ,30.1,30.14,29.44,29.62,179754
WAG,28.09,28.33,27.91,28.16,73928
WAT,64.1,64.38,62.43,62.53,8350
WDC,24.3,24.44,23.8,24.03,63080
WEC,56,56.11,55.21,55.56,10411
WFC,25.1,25.36,24.27,24.43,515167
WFMI,36.68,36.8,36.2,36.39,24418
WFR,10.7,10.82,10.42,10.51,55316
WHR,79.4,79.87,76.46,78.01,20964
WIN,11.41,11.41,11.17,11.24,57246
WLP,51.7,51.71,49.79,50.12,38269
WM,33.89,33.96,33.34,33.48,18217
WMB,19.31,19.31,18.84,18.9,83134
WMT,50.7,50.96,50,50.06,156340
WPI,42.71,42.88,42.1,42.32,10557
WPO,337.94,348.4,333.46,345.61,2197
WU,16.15,16.21,15.95,16.06,47403
WY,16.69,16.69,16.13,16.17,37938
WYN,25.61,25.805,24.74,24.9,26498
WYNN,89.4,89.65,86.03,86.53,20124
X,50.59,51.39,47.66,47.78,231637
XEL,22.09,22.09,21.66,21.75,40774
XL,18.09,18.14,17.74,17.74,39020
XLNX,25.55,25.81,25.19,25.3,57749
XOM,59.93,60.06,58.9,59.29,211769
XRAY,30.66,30.72,29.98,30.13,8429
XRX,9.2,9.26,8.8478,9.05,61778
YHOO,13.88,14,13.8,13.85,141006
YUM,42.03,42.27,41.45,41.91,26932
ZION,19.83,20,19.13,19.35,45935
ZMH,51.63,51.63,50.17,50.22,18259
