Date,Open,High,Low,Close,Volume,Adj Close
1999-02-26,171.00,171.88,166.50,169.75,14798000,70.03
1999-02-25,172.00,173.94,169.31,173.62,10469600,71.63
1999-02-24,177.25,179.69,173.12,173.75,8637400,71.68
1999-02-23,178.00,180.00,175.75,176.94,9109200,72.99
1999-02-22,172.25,177.94,171.06,177.94,9200200,73.41
1999-02-19,174.38,174.75,171.00,171.62,7393200,70.80
1999-02-18,172.00,174.50,170.19,174.25,8687800,71.88
1999-02-17,170.50,174.31,168.81,170.50,8977000,70.34
1999-02-16,175.00,178.25,171.94,172.50,9019800,71.16
1999-02-12,176.25,176.25,171.19,172.75,11666200,71.27
1999-02-11,170.25,178.81,168.12,178.50,12564800,73.64
1999-02-10,162.50,168.88,162.50,168.88,10853400,69.67
1999-02-09,167.00,169.50,161.75,162.75,10811200,67.14
1999-02-08,167.00,168.88,163.12,167.00,11986600,68.89
1999-02-05,170.44,171.00,164.56,166.00,16957600,68.39
1999-02-04,175.19,176.50,169.25,169.56,11615200,69.86
1999-02-03,175.88,177.00,173.06,175.25,11196600,72.20
1999-02-02,179.56,180.69,175.00,176.75,11727200,72.82
1999-02-01,184.50,184.50,179.50,179.75,7407200,74.06
1999-01-29,178.69,183.94,178.50,183.25,10115800,75.50
1999-01-28,179.50,181.31,177.56,178.69,11941200,73.62
1999-01-27,186.81,186.81,177.81,178.31,17833200,73.46
1999-01-26,183.75,186.50,181.88,185.62,19097000,76.48
1999-01-25,182.25,182.62,173.50,182.00,23375400,74.98
1999-01-22,184.00,185.50,177.62,179.75,38085000,74.06
1999-01-21,197.62,198.25,192.06,197.00,20404600,81.16
1999-01-20,195.00,199.25,192.62,194.50,12634600,80.13
1999-01-19,187.75,192.50,185.50,192.25,8398600,79.20
1999-01-15,182.25,185.50,181.25,184.94,6789600,76.19
1999-01-14,183.62,184.94,178.88,180.62,9000000,74.42
1999-01-13,183.00,187.44,179.50,185.50,9905400,76.42
1999-01-12,190.00,190.00,184.00,185.06,6763600,76.24
1999-01-11,189.00,189.44,187.00,189.25,7261600,77.97
1999-01-08,191.00,192.00,185.62,187.56,9176800,77.27
1999-01-07,187.94,192.38,187.00,190.19,8306800,78.36
1999-01-06,190.31,192.75,188.50,188.75,9539600,77.76
1999-01-05,183.00,189.88,182.81,189.62,9907600,78.12
1999-01-04,185.00,186.50,181.50,183.00,8149600,75.39
1998-12-31,186.75,187.19,183.50,184.38,3864800,75.96
1998-12-30,186.88,188.62,186.31,186.75,4813200,76.94
1998-12-29,188.62,188.94,187.00,187.12,3762200,77.09
1998-12-28,186.50,189.94,186.00,189.25,5269200,77.97
1998-12-24,184.75,187.94,184.06,187.94,3049800,77.43
1998-12-23,182.69,185.38,181.12,185.00,7070000,76.22
1998-12-22,177.50,183.00,175.25,182.25,8704600,75.09
1998-12-21,171.56,178.94,171.56,176.38,7478600,72.66
1998-12-18,166.62,172.19,166.62,171.56,9816800,70.68
1998-12-17,165.44,169.62,165.06,166.06,8763200,68.42
1998-12-16,166.88,166.88,164.31,164.38,5652800,67.72
1998-12-15,163.50,165.81,162.50,165.00,7771600,67.98
1998-12-14,166.50,167.00,162.75,162.88,7547400,67.10
1998-12-11,164.00,168.44,163.25,168.00,6984200,69.21
1998-12-10,169.31,170.00,163.75,165.00,7374600,67.98
1998-12-09,168.06,169.94,167.38,169.44,4680600,69.81
1998-12-08,168.19,169.88,165.06,168.19,7429200,69.29
1998-12-07,164.44,168.19,164.25,167.19,5303800,68.88
1998-12-04,164.62,165.38,162.25,164.25,6800200,67.67
1998-12-03,168.25,169.38,163.00,163.50,6459400,67.36
1998-12-02,168.94,169.25,164.75,167.44,6153600,68.98
1998-12-01,163.50,170.00,163.50,169.88,7276600,69.99
1998-11-30,169.75,170.56,164.88,165.12,5533400,68.03
1998-11-27,166.62,170.19,166.62,170.00,2674000,70.04
1998-11-25,165.12,166.94,164.38,166.75,3937400,68.70
1998-11-24,165.50,167.19,165.00,165.25,6641800,68.08
1998-11-23,161.00,167.00,160.56,166.56,7754000,68.62
1998-11-20,158.88,160.12,158.50,160.12,6387800,65.97
1998-11-19,159.50,159.88,158.12,158.56,6328800,65.33
1998-11-18,158.06,159.62,157.62,159.00,5845600,65.51
1998-11-17,159.38,161.38,158.00,158.00,8733400,65.09
1998-11-16,158.62,159.69,158.06,159.38,6842000,65.66
1998-11-13,157.00,157.50,155.75,157.44,5995200,64.86
1998-11-12,156.69,159.88,156.62,157.88,8667800,65.04
1998-11-11,157.00,158.88,156.50,157.12,10218200,64.73
1998-11-10,150.88,156.75,150.69,156.00,8743000,64.27
1998-11-09,150.75,152.19,149.94,151.38,7577400,62.36
1998-11-06,148.88,150.94,147.50,149.94,7138000,61.77
1998-11-05,147.69,149.56,146.81,149.00,6586000,61.30
1998-11-04,148.88,149.75,145.75,147.88,8192600,60.83
1998-11-03,148.50,149.94,147.19,147.38,6913000,60.63
1998-11-02,148.44,149.69,147.31,148.38,6965400,61.04
1998-10-30,149.50,149.81,147.50,148.50,7846200,61.09
1998-10-29,148.00,149.50,147.00,148.75,10156000,61.19
1998-10-28,144.62,146.88,143.81,146.19,7269800,60.14
1998-10-27,145.00,146.81,143.06,144.38,11417200,59.39
1998-10-26,141.31,144.44,140.06,143.06,7354600,58.85
1998-10-23,141.50,143.44,141.19,141.56,6291000,58.24
1998-10-22,140.00,143.50,139.62,141.81,9495800,58.34
1998-10-21,140.12,143.69,139.00,142.69,17015800,58.70
1998-10-20,140.62,142.44,136.50,137.88,11327000,56.72
1998-10-19,135.00,139.81,135.00,139.38,8809400,57.34
1998-10-16,137.00,137.50,134.81,135.94,10338200,55.92
1998-10-15,130.00,138.75,129.75,136.50,13065400,56.15
1998-10-14,127.75,132.00,127.19,130.50,9591800,53.69
1998-10-13,130.50,130.50,126.56,128.19,9393600,52.73
1998-10-12,130.12,132.88,129.56,130.88,10805000,53.84
1998-10-09,124.44,127.94,122.50,127.31,11683200,52.37
1998-10-08,120.75,123.50,116.81,123.50,18312600,50.81
